name,zone,income,lifeExpectancy,population
Albanie,Europe et Asie centrale,10122.04075,77.83046341,2893654
Algérie,Moyen-Orient et Afrique du Nord,13553.90607,74.80809756,38934334
Angola,Afrique subsaharienne,6955.960047,52.26687805,24227524
Antigua-et-Barbuda,Amérique latine et Caraïbes,21061.86762,75.93763415,90900
Arménie,Europe et Asie centrale,7698.694581,74.67570732,3006154
Australie,Asie de l’Est et Pacifique,43267.60191,82.25121951,23464086
Autriche,Europe et Asie centrale,43871.71684,81.33658537,8541575
Azerbaïdjan,Europe et Asie centrale,16715.10552,70.76321951,9535079
Bahamas,Amérique latine et Caraïbes,22411.05684,75.23365854,383054
Bahreïn,Moyen-Orient et Afrique du Nord,43408.23705,76.68326829,1361930
Bangladesh,Asie du Sud,2979.16727,71.62590244,159077513
Barbade,Amérique latine et Caraïbes,15319.51155,75.49641463,283380
Bélarus,Europe et Asie centrale,17348.05508,72.97560976,9483000
Belgique,Europe et Asie centrale,40777.77759,80.58780488,11231213
Belize,Amérique latine et Caraïbes,8043.505822,70.07743902,351706
Bénin,Afrique subsaharienne,1936.825582,59.51058537,10598482
Bhoutan,Asie du Sud,7456.315988,69.4712439,765008
Bolivie,Amérique latine et Caraïbes,6324.990141,68.344,10561887
Bosnie-Herzégovine,Europe et Asie centrale,9698.578276,76.4332439,3817554
Botswana,Afrique subsaharienne,15200.17601,64.4292439,2219937
Brésil,Amérique latine et Caraïbes,15162.41778,74.40187805,206077898
Brunéi Darussalam,Asie de l’Est et Pacifique,67911.87891,78.80958537,417394
Bulgarie,Europe et Asie centrale,16363.04609,75.40731707,7223938
Burkina Faso,Afrique subsaharienne,1545.84643,58.58846341,17589198
Burundi,Afrique subsaharienne,734.4845955,56.69202439,10816860
Cap-Vert,Afrique subsaharienne,6219.777782,73.147,513906
Cambodge,Asie de l’Est et Pacifique,3112.630513,68.21229268,15328136
Cameroun,Afrique subsaharienne,2835.566677,55.4927561,22773014
Canada,Amérique du Nord,42801.176,81.95660976,35543658
République centrafricaine,Afrique subsaharienne,543.5975604,50.65778049,4804316
Chili,Amérique latine et Caraïbes,21923.38642,81.49619512,17762647
Chine,Asie de l’Est et Pacifique,12599.18797,75.78226829,1364270000
Colombie,Amérique latine et Caraïbes,12715.14324,73.99314634,47791393
Comores,Afrique subsaharienne,1363.563075,63.25685366,769991
République démocratique du Congo,Afrique subsaharienne,711.0169497,58.65919512,74877030
République du Congo,Afrique subsaharienne,5988.158823,62.31114634,4504962
Costa Rica,Amérique latine et Caraïbes,14232.17543,79.40270732,4757606
Côte d'Ivoire,Afrique subsaharienne,3108.425908,51.55958537,22157107
Croatie,Europe et Asie centrale,20033.11459,77.32926829,4238389
Chypre,Europe et Asie centrale,29452.8898,80.13156098,1153658
République tchèque,Europe et Asie centrale,28674.81336,78.27560976,10525347
Danemark,Europe et Asie centrale,43156.83407,80.54878049,5643475
Djibouti,Moyen-Orient et Afrique du Nord,3120.044328,62.0155122,876174
Dominique,Amérique latine et Caraïbes,12652.5233,73.50002439,10405943
Équateur,Amérique latine et Caraïbes,10848.81847,75.8724878,15902916
Égypte,Moyen-Orient et Afrique du Nord,10048.57243,71.12170732,89579670
El Salvador,Amérique latine et Caraïbes,7925.991783,72.75456098,6107706
Guinée équatoriale,Afrique subsaharienne,33146.19571,57.64704878,820885
Estonie,Europe et Asie centrale,26593.51012,77.23902439,1314545
Éthiopie,Afrique subsaharienne,1430.803443,64.03502439,96958732
Fidji,Asie de l’Est et Pacifique,8388.223464,70.08912195,886450
Finlande,Europe et Asie centrale,38577.21382,81.12926829,5461512
France,Europe et Asie centrale,37052.66261,82.37317073,66495940
Gabon,Afrique subsaharienne,18536.76837,64.38339024,1687673
Gambie,Afrique subsaharienne,1555.529347,60.22843902,1928201
Géorgie,Europe et Asie centrale,8749.156145,74.66863415,3727000
Allemagne,Europe et Asie centrale,43552.28915,80.84390244,80982500
Ghana,Afrique subsaharienne,3894.004399,61.31163415,26786598
Grèce,Europe et Asie centrale,24518.59519,81.28536585,10892413
Grenade,Amérique latine et Caraïbes,11853.71662,73.36631707,106349
Guatemala,Amérique latine et Caraïbes,7106.392331,71.72241463,16015494
